iter	Passed	Remaining
0	149	149232
1	150	75065
2	151	50239
3	151	37820
4	152	30365
5	153	25384
6	154	21894
7	155	19250
8	156	17185
9	156	15539
10	157	14188
11	158	13054
12	159	12097
13	160	11286
14	160	10567
15	161	9950
16	162	9401
17	163	8915
18	164	8485
19	165	8108
20	166	7765
21	167	7451
22	168	7153
23	169	6881
24	169	6628
25	170	6403
26	171	6191
27	172	5987
28	173	5803
29	174	5627
30	174	5459
31	175	5304
32	176	5162
33	176	5024
34	177	4895
35	178	4769
36	178	4652
37	179	4542
38	180	4438
39	180	4336
40	181	4243
41	182	4156
42	182	4070
43	183	3988
44	184	3907
45	185	3837
46	185	3765
47	186	3695
48	186	3627
49	187	3562
50	188	3499
51	188	3441
52	189	3389
53	190	3332
54	191	3281
55	191	3233
56	192	3184
57	193	3139
58	194	3095
59	194	3049
60	195	3005
61	196	2966
62	196	2928
63	197	2891
64	198	2855
65	199	2819
66	199	2784
67	200	2752
68	201	2718
69	202	2684
70	202	2652
71	203	2621
72	204	2591
73	204	2561
74	205	2534
75	206	2506
76	206	2479
77	207	2451
78	208	2425
79	208	2401
80	209	2376
81	210	2351
82	210	2323
83	211	2303
84	211	2281
85	212	2259
86	213	2237
87	213	2215
88	214	2194
89	215	2174
90	215	2154
91	216	2136
92	217	2119
93	217	2100
94	218	2082
95	219	2065
96	219	2047
97	220	2030
98	221	2014
99	222	1998
100	222	1984
101	223	1967
102	224	1952
103	225	1938
104	225	1923
105	226	1910
106	227	1895
107	227	1881
108	228	1868
109	229	1853
110	229	1840
111	230	1827
112	231	1815
113	231	1802
114	232	1791
115	233	1779
116	234	1767
117	234	1754
118	235	1741
119	235	1730
120	236	1719
121	237	1707
122	237	1696
123	238	1687
124	239	1676
125	240	1665
126	240	1654
127	241	1643
128	241	1633
129	242	1625
130	243	1615
131	244	1605
132	244	1595
133	245	1586
134	246	1577
135	246	1568
136	247	1559
137	248	1549
138	248	1540
139	249	1532
140	250	1523
141	250	1513
142	251	1505
143	252	1498
144	252	1491
145	253	1482
146	254	1475
147	255	1468
148	255	1460
149	256	1453
150	257	1446
151	258	1439
152	259	1434
153	259	1428
154	260	1421
155	261	1414
156	262	1407
157	262	1400
158	263	1394
159	264	1387
160	264	1380
161	265	1374
162	266	1367
163	266	1360
164	267	1354
165	268	1347
166	268	1341
167	269	1334
168	270	1327
169	270	1321
170	271	1315
171	272	1309
172	272	1304
173	273	1297
174	274	1292
175	274	1286
176	275	1281
177	276	1275
178	276	1269
179	277	1264
180	278	1258
181	278	1253
182	279	1247
183	279	1241
184	280	1236
185	281	1230
186	281	1225
187	282	1220
188	283	1216
189	284	1211
190	284	1206
191	285	1201
192	286	1196
193	286	1192
194	287	1187
195	288	1182
196	289	1178
197	289	1173
198	290	1168
199	291	1164
200	291	1160
201	292	1155
202	293	1151
203	293	1146
204	294	1142
205	295	1137
206	295	1133
207	296	1129
208	297	1124
209	297	1120
210	298	1115
211	299	1111
212	299	1107
213	300	1103
214	301	1099
215	301	1095
216	302	1091
217	303	1087
218	303	1082
219	304	1078
220	304	1074
221	305	1071
222	306	1067
223	307	1063
224	307	1059
225	308	1056
226	309	1053
227	310	1050
228	310	1046
229	311	1043
230	312	1038
231	312	1035
232	313	1031
233	314	1028
234	315	1025
235	315	1022
236	316	1018
237	317	1015
238	317	1011
239	318	1007
240	318	1004
241	319	1000
242	319	996
243	320	993
244	321	989
245	321	986
246	322	984
247	323	981
248	324	979
249	325	975
250	326	972
251	326	969
252	327	966
253	328	963
254	328	960
255	329	957
256	329	953
257	330	951
258	331	948
259	332	945
260	332	942
261	333	939
262	334	936
263	334	933
264	335	930
265	336	927
266	336	924
267	337	921
268	338	918
269	338	915
270	339	912
271	340	910
272	340	906
273	341	904
274	341	901
275	342	898
276	343	896
277	344	893
278	344	891
279	345	888
